Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,12005,1800,0,510,384,257,0.073,11.71,3448.00,0.85
0.002,12006,1800,0,510,385,257,0.102,11.72,3448.00,1.20
0.004,12007,1800,0,511,384,256,0.073,11.70,3446.00,0.85
0.006,12008,1800,0,513,386,257,0.073,11.71,3448.00,0.85
0.008,12009,1800,0,511,385,257,0.102,11.73,3448.00,1.20
0.010,12010,1800,0,511,384,257,0.102,11.73,3448.00,1.20
0.012,12011,1800,0,511,386,257,0.087,11.71,3448.00,1.02
0.014,12012,1800,0,512,385,257,0.102,11.72,3448.00,1.20
0.016,12013,1800,0,512,385,255,0.073,11.72,3447.00,0.86
0.018,12014,1800,0,512,385,256,0.058,11.71,3447.00,0.68
0.020,12015,1800,0,511,385,254,0.102,11.73,3447.00,1.20
0.022,12016,1500,0,510,384,258,0.087,11.72,3449.00,1.02
0.024,12017,1500,0,512,385,255,0.073,11.70,3446.00,0.85
0.026,12018,1500,0,509,384,256,0.058,11.71,3448.00,0.68
0.028,12019,1500,0,511,384,256,0.058,11.70,3445.00,0.68
0.030,12020,1500,0,511,385,255,0.087,11.72,3447.00,1.02
0.032,12021,1500,0,512,386,256,0.087,11.74,3447.00,1.02
0.034,12022,1500,0,512,385,255,0.087,11.72,3445.00,1.02
0.036,12023,1500,0,511,384,254,0.087,11.71,3446.00,1.02
0.038,12024,1500,0,510,385,255,0.117,11.74,3448.00,1.37
0.040,12025,1500,0,513,386,256,0.102,11.74,3448.00,1.20
0.042,12026,1500,0,510,382,256,0.087,11.72,3451.00,1.02
0.044,12027,1500,0,511,385,257,0.087,11.71,3447.00,1.02
0.046,12028,1500,0,510,385,256,0.102,11.73,3448.00,1.20
0.048,12029,1500,0,510,384,256,0.102,11.74,3447.00,1.20
0.050,12030,1500,0,510,386,255,0.102,11.72,3449.00,1.20
0.052,12031,1500,0,511,387,257,0.102,11.72,3448.00,1.20
0.054,12032,1500,0,511,385,257,0.102,11.71,3448.00,1.19
0.056,12033,1500,0,511,385,257,0.073,11.72,3448.00,0.86
0.058,12034,1500,0,510,385,258,0.073,11.71,3449.00,0.85
0.060,12035,1500,0,511,385,257,0.087,11.72,3448.00,1.02
0.062,12036,1500,0,511,385,255,0.073,11.70,3447.00,0.85
0.064,12037,1500,0,511,385,255,0.073,11.70,3446.00,0.85
0.066,12038,1500,0,512,384,255,0.073,11.71,3446.00,0.85
0.068,12039,1500,0,510,386,255,0.102,11.74,3447.00,1.20
0.070,12040,1500,0,511,386,256,0.102,11.74,3449.00,1.20
0.072,12041,1500,0,512,386,255,0.073,11.70,3446.00,0.85
0.074,12042,1500,0,509,385,255,0.073,11.71,3448.00,0.85
0.076,12043,1500,0,513,388,256,0.102,11.74,3446.00,1.20
0.078,12044,1500,0,513,385,258,0.102,11.73,3449.00,1.20
0.080,12045,1500,0,511,385,255,0.073,11.70,3446.00,0.85
0.082,12046,1500,0,511,385,256,0.073,11.71,3448.00,0.85
0.084,12047,1500,0,510,384,256,0.117,11.73,3447.00,1.37
0.086,12048,1500,0,510,384,255,0.117,11.74,3448.00,1.37
0.088,12049,1500,0,511,386,256,0.102,11.72,3449.00,1.20
0.090,12050,1500,1,510,384,256,0.073,11.71,3449.00,0.85
0.092,12051,1500,1,510,386,253,0.087,11.72,3445.00,1.02
0.094,12052,1500,1,513,387,256,0.117,11.74,3448.00,1.37
0.096,12053,1500,1,513,388,257,0.087,11.71,3447.00,1.02
0.098,12054,1500,1,511,386,257,0.102,11.72,3449.00,1.20
0.100,12055,1500,1,512,385,256,0.058,11.71,3445.00,0.68
0.102,12056,1500,1,512,385,256,0.058,11.71,3444.00,0.68
0.104,12057,1500,1,512,384,255,0.058,11.71,3446.00,0.68
0.106,12058,1500,1,509,386,256,0.087,11.72,3447.00,1.02
