Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,36017,1200,0,511,387,256,0.073,11.71,2221.00,0.85
0.002,36018,1200,0,509,383,254,0.058,11.72,2221.00,0.68
0.004,36019,1200,0,512,386,256,0.073,11.72,2221.00,0.86
0.006,36020,1200,0,511,386,257,0.087,11.71,2222.00,1.02
0.008,36021,1200,0,511,385,257,0.073,11.71,2223.00,0.85
0.010,36022,1200,0,510,386,257,0.058,11.70,2223.00,0.68
0.012,36023,1200,0,511,385,257,0.073,11.70,2223.00,0.85
0.014,36024,1200,0,510,385,255,0.073,11.70,2222.00,0.85
0.016,36025,1200,0,511,386,255,0.073,11.70,2222.00,0.85
0.018,36026,1200,0,510,384,256,0.102,11.73,2223.00,1.20
0.020,36027,1200,0,510,385,256,0.102,11.73,2222.00,1.20
0.022,36028,0,0,510,385,256,0.073,11.71,2222.00,0.85
0.024,36029,0,0,508,384,255,0.087,11.71,2221.00,1.02
0.026,36030,0,0,511,386,257,0.087,11.72,2223.00,1.02
0.028,36031,0,0,511,385,257,0.087,11.71,2224.00,1.02
0.030,36032,0,0,510,385,257,0.102,11.71,2224.00,1.19
0.032,36033,0,0,511,385,256,0.073,11.70,2221.00,0.85
0.034,36034,0,0,511,385,255,0.058,11.71,2221.00,0.68
0.036,36035,0,0,509,384,256,0.058,11.70,2219.00,0.68
0.038,36036,0,0,509,385,255,0.073,11.72,2221.00,0.86
0.040,36037,0,0,510,386,256,0.102,11.74,2223.00,1.20
0.042,36038,0,0,511,385,257,0.102,11.72,2223.00,1.20
0.044,36039,0,0,512,386,256,0.073,11.70,2220.00,0.85
0.046,36040,0,0,510,385,257,0.087,11.70,2224.00,1.02
0.048,36041,0,0,510,385,257,0.087,11.71,2223.00,1.02
0.050,36042,0,0,510,385,257,0.073,11.71,2222.00,0.85
0.052,36043,0,0,510,384,256,0.073,11.70,2222.00,0.85
0.054,36044,0,0,512,384,256,0.073,11.70,2220.00,0.85
0.056,36045,0,0,510,386,255,0.102,11.73,2221.00,1.20
0.058,36046,0,0,511,386,256,0.087,11.72,2223.00,1.02
0.060,36047,0,0,511,384,256,0.058,11.70,2221.00,0.68
0.062,36048,0,0,509,385,255,0.087,11.72,2222.00,1.02
0.064,36049,0,0,512,386,256,0.102,11.73,2222.00,1.20
0.066,36050,0,0,511,386,257,0.087,11.72,2224.00,1.02
0.068,36051,0,0,510,384,257,0.102,11.70,2222.00,1.19
0.070,36052,0,0,511,385,256,0.087,11.71,2223.00,1.02
0.072,36053,0,0,510,386,257,0.102,11.73,2221.00,1.20
0.074,36054,0,0,510,385,257,0.087,11.72,2224.00,1.02
0.076,36055,0,0,511,385,255,0.058,11.70,2222.00,0.68
0.078,36056,0,0,509,384,256,0.073,11.72,2222.00,0.86
0.080,36057,0,0,511,387,256,0.073,11.72,2223.00,0.86
0.082,36058,0,0,510,385,256,0.058,11.70,2221.00,0.68
0.084,36059,0,0,511,384,257,0.087,11.71,2224.00,1.02
0.086,36060,0,0,510,385,254,0.073,11.71,2221.00,0.85
0.088,36061,0,1,510,385,256,0.102,11.73,2221.00,1.20
0.090,36062,0,1,510,385,257,0.117,11.74,2223.00,1.37
0.092,36063,0,1,511,385,257,0.073,11.71,2224.00,0.85
0.094,36064,0,1,510,385,256,0.058,11.70,2222.00,0.68
