Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,1,0,0,1986,2027,2494,0.212,15.31,214.00,3.25
0.002,2,0,0,1987,2027,2493,0.197,15.30,215.00,3.01
0.004,3,0,0,1986,2027,2493,0.205,15.31,215.00,3.14
0.006,4,0,0,1987,2027,2493,0.205,15.30,215.00,3.14
0.008,5,0,0,1986,2026,2494,0.205,15.30,212.00,3.14
0.010,6,0,0,1987,2028,2493,0.212,15.31,217.00,3.25
0.012,7,0,0,1986,2025,2494,0.212,15.30,212.00,3.24
0.014,8,0,0,1986,2027,2494,0.197,15.29,215.00,3.01
0.016,9,0,0,1986,2026,2493,0.197,15.30,217.00,3.01
0.018,10,0,0,1986,2026,2494,0.205,15.31,214.00,3.14
0.020,11,0,0,1988,2027,2493,0.190,15.29,215.00,2.91
0.022,12,0,0,1985,2026,2494,0.197,15.30,212.00,3.01
0.024,13,0,0,1985,2026,2493,0.212,15.31,214.00,3.25
0.026,14,0,0,1987,2027,2493,0.197,15.30,215.00,3.01
0.028,15,0,0,1986,2026,2494,0.190,15.29,214.00,2.91
0.030,16,0,0,1988,2028,2493,0.197,15.30,215.00,3.01
0.032,17,0,0,1985,2024,2495,0.205,15.30,211.00,3.14
0.034,18,0,0,1987,2026,2494,0.197,15.30,215.00,3.01
0.036,19,0,0,1986,2026,2493,0.197,15.30,214.00,3.01
0.038,20,0,1,1987,2026,2493,0.190,15.30,215.00,2.91
0.040,21,0,1,1986,2026,2494,0.205,15.31,212.00,3.14
0.042,22,0,1,1986,2027,2492,0.205,15.30,217.00,3.14
0.044,23,0,1,1986,2026,2492,0.190,15.30,215.00,2.91
0.046,24,0,1,1987,2027,2494,0.197,15.29,215.00,3.01
0.048,25,0,1,1987,2027,2493,0.205,15.30,217.00,3.14
0.050,26,0,1,1986,2025,2494,0.190,15.29,214.00,2.91
0.052,27,0,1,1986,2026,2494,0.197,15.29,214.00,3.01
0.054,28,0,1,1986,2026,2494,0.205,15.30,214.00,3.14
0.056,29,0,1,1985,2025,2495,0.219,15.31,212.00,3.35
0.058,30,0,1,1987,2027,2493,0.197,15.29,215.00,3.01
0.060,31,0,1,1986,2026,2493,0.190,15.29,215.00,2.91
0.062,32,0,1,1985,2025,2493,0.190,15.29,214.00,2.91
0.064,33,0,1,1986,2026,2493,0.197,15.29,215.00,3.01
0.066,34,0,1,1988,2028,2492,0.212,15.31,217.00,3.25
0.068,35,0,1,1987,2027,2493,0.197,15.30,215.00,3.01
0.070,36,0,1,1985,2025,2493,0.205,15.30,215.00,3.14
0.072,37,0,1,1985,2025,2493,0.205,15.30,215.00,3.14
0.074,38,0,1,1986,2026,2493,0.205,15.30,214.00,3.14
0.076,39,0,2,1984,2024,2493,0.190,15.29,214.00,2.91
0.078,40,0,2,1986,2027,2493,0.205,15.30,214.00,3.14
0.080,41,0,2,1987,2027,2492,0.205,15.31,217.00,3.14
0.082,42,0,2,1986,2026,2493,0.212,15.30,215.00,3.24
0.084,43,0,2,1986,2027,2493,0.205,15.30,215.00,3.14
0.086,44,0,2,1986,2026,2492,0.205,15.30,217.00,3.14
0.088,45,0,2,1985,2025,2494,0.212,15.29,214.00,3.24
0.090,46,0,2,1985,2026,2493,0.205,15.29,214.00,3.14
0.092,47,0,2,1987,2026,2492,0.197,15.30,217.00,3.01
0.094,48,0,2,1986,2026,2494,0.197,15.30,214.00,3.01
0.096,49,0,2,1987,2026,2494,0.197,15.29,214.00,3.01
0.098,50,0,2,1985,2025,2494,0.205,15.30,214.00,3.14
0.100,51,0,2,1986,2026,2494,0.197,15.30,214.00,3.01
0.102,52,0,2,1986,2026,2493,0.205,15.30,214.00,3.14
0.104,53,0,2,1986,2026,2493,0.205,15.30,214.00,3.14
0.106,54,0,2,1985,2026,2493,0.205,15.30,212.00,3.14
0.108,55,0,2,1987,2027,2492,0.197,15.31,217.00,3.02
0.110,56,0,2,1987,2027,2492,0.197,15.30,215.00,3.01
0.112,57,0,2,1987,2027,2493,0.197,15.30,215.00,3.01
0.114,58,0,3,1986,2027,2494,0.205,15.30,214.00,3.14
0.116,59,0,3,1986,2026,2494,0.197,15.29,212.00,3.01
0.118,60,0,3,1986,2025,2493,0.197,15.29,214.00,3.01
0.120,61,0,3,1986,2026,2494,0.197,15.29,214.00,3.01
0.122,62,0,3,1986,2027,2493,0.205,15.30,215.00,3.14
0.124,63,0,3,1986,2026,2493,0.212,15.31,215.00,3.25
0.126,64,0,3,1986,2026,2494,0.212,15.31,214.00,3.25
0.128,65,0,3,1986,2026,2494,0.205,15.29,214.00,3.14
0.130,66,0,3,1987,2027,2494,0.205,15.30,214.00,3.14
0.132,67,0,3,1986,2026,2495,0.197,15.29,212.00,3.01
0.134,68,0,3,1986,2026,2494,0.197,15.30,212.00,3.01
0.136,69,0,3,1986,2027,2494,0.197,15.30,214.00,3.01
0.138,70,0,3,1987,2026,2493,0.205,15.30,214.00,3.14
0.140,71,0,3,1986,2026,2493,0.205,15.31,215.00,3.14
0.142,72,0,3,1986,2026,2495,0.205,15.31,212.00,3.14
0.144,73,0,3,1986,2026,2495,0.197,15.29,212.00,3.01
0.146,74,0,3,1985,2025,2494,0.212,15.30,214.00,3.24
0.148,75,0,3,1986,2027,2493,0.212,15.30,215.00,3.24
0.150,76,0,4,1987,2028,2493,0.205,15.30,215.00,3.14
0.152,77,0,4,1985,2026,2494,0.190,15.28,214.00,2.90
0.154,78,0,4,1986,2026,2494,0.197,15.30,214.00,3.01
0.156,79,0,4,1987,2027,2493,0.197,15.31,215.00,3.02
0.158,80,0,4,1986,2026,2494,0.197,15.29,214.00,3.01
0.160,81,0,4,1986,2026,2493,0.197,15.29,215.00,3.01
0.162,82,0,4,1986,2027,2493,0.212,15.31,215.00,3.25
0.164,83,0,4,1985,2026,2495,0.197,15.29,212.00,3.01
0.166,84,0,4,1987,2026,2495,0.190,15.29,214.00,2.91
0.168,85,0,4,1987,2027,2493,0.197,15.30,215.00,3.01
0.170,86,0,4,1987,2026,2494,0.190,15.29,214.00,2.91
