Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(g.f),Power(W)
5.082,15002,0,0,2007,1998,2498,0.197,12.18,208.00,2.40
5.082,15003,0,0,2007,1997,2499,0.205,12.18,205.00,2.50
5.082,15004,0,0,2008,1998,2498,0.205,12.18,208.00,2.50
5.082,15005,0,0,2009,2000,2498,0.197,12.17,208.00,2.40
5.082,15006,0,0,2007,1999,2497,0.205,12.18,208.00,2.50
5.082,15007,0,0,2008,1999,2498,0.205,12.18,208.00,2.50
5.083,15008,0,0,2008,1999,2498,0.190,12.16,206.00,2.31
5.083,15009,0,0,2008,1999,2499,0.197,12.18,208.00,2.40
5.083,15010,0,0,2008,1998,2498,0.197,12.19,208.00,2.40
5.083,15011,0,0,2008,1999,2498,0.197,12.19,208.00,2.40
5.083,15012,0,0,2008,1999,2498,0.205,12.18,208.00,2.50
5.083,15013,0,0,2007,1998,2499,0.197,12.18,206.00,2.40
5.083,15014,0,0,2008,1999,2498,0.197,12.18,206.00,2.40
5.083,15015,0,0,2007,1999,2498,0.197,12.18,206.00,2.40
5.083,15016,0,0,2007,1998,2498,0.197,12.17,206.00,2.40
5.083,15017,0,0,2007,1998,2498,0.197,12.18,208.00,2.40
5.083,15018,0,0,2007,1999,2497,0.205,12.19,209.00,2.50
5.083,15019,0,0,2007,1999,2496,0.197,12.18,211.00,2.40
5.084,15020,0,0,2007,1998,2497,0.197,12.18,211.00,2.40
5.084,15021,0,0,2007,1998,2497,0.197,12.19,208.00,2.40
5.086,15022,0,0,2007,1999,2497,0.190,12.18,209.00,2.31
5.086,15023,0,0,2008,1999,2497,0.197,12.18,208.00,2.40
5.086,15024,0,0,2008,2000,2498,0.205,12.18,208.00,2.50
5.086,15025,0,0,2009,2000,2498,0.197,12.18,208.00,2.40
5.086,15026,0,0,2008,2000,2498,0.190,12.18,208.00,2.31
5.086,15027,0,0,2009,2001,2498,0.197,12.18,208.00,2.40
5.086,15028,0,0,2007,1999,2498,0.197,12.17,208.00,2.40
5.086,15029,0,0,2007,1999,2496,0.205,12.19,209.00,2.50
5.086,15030,0,0,2007,1999,2496,0.212,12.19,211.00,2.58
5.086,15031,0,0,2008,1999,2497,0.197,12.19,209.00,2.40
5.086,15032,0,0,2007,1999,2498,0.197,12.17,208.00,2.40
5.086,15033,0,0,2007,1999,2498,0.219,12.19,209.00,2.67
5.086,15034,0,0,2007,1998,2498,0.197,12.18,208.00,2.40
5.087,15035,0,0,2007,1998,2498,0.197,12.18,209.00,2.40
5.087,15036,0,0,2007,1999,2498,0.190,12.16,206.00,2.31
5.087,15037,0,0,2008,1999,2498,0.197,12.18,206.00,2.40
5.087,15038,0,0,2007,1998,2496,0.212,12.19,211.00,2.58
5.087,15039,0,0,2008,2000,2497,0.219,12.19,209.00,2.67
5.087,15040,0,0,2008,1999,2496,0.205,12.19,211.00,2.50
5.087,15041,0,0,2007,1999,2496,0.212,12.19,211.00,2.58
5.087,15042,0,0,2008,1999,2498,0.197,12.17,208.00,2.40
5.087,15043,0,0,2008,1999,2498,0.197,12.18,206.00,2.40
5.087,15044,0,0,2007,1999,2498,0.197,12.18,208.00,2.40
5.087,15045,0,0,2007,1999,2499,0.205,12.18,206.00,2.50
5.087,15046,0,0,2007,1999,2498,0.205,12.18,208.00,2.50
5.087,15047,0,0,2008,1999,2499,0.190,12.17,208.00,2.31
5.087,15048,0,0,2007,1999,2498,0.197,12.17,206.00,2.40
5.087,15049,0,0,2008,1999,2497,0.205,12.19,208.00,2.50
5.087,15050,0,0,2008,1999,2497,0.205,12.18,209.00,2.50
5.087,15051,0,0,2008,2000,2497,0.212,12.19,208.00,2.58
5.087,15052,0,0,2007,1999,2496,0.212,12.19,211.00,2.58
5.088,15053,0,0,2007,1998,2498,0.205,12.18,208.00,2.50
5.088,15054,0,0,2007,1998,2497,0.197,12.18,211.00,2.40
5.088,15055,0,0,2009,2000,2498,0.205,12.18,208.00,2.50
5.088,15056,0,0,2008,2000,2498,0.197,12.18,208.00,2.40
5.088,15057,0,0,2007,1998,2497,0.212,12.19,209.00,2.58
5.088,15058,0,0,2007,1999,2497,0.212,12.19,209.00,2.58
5.088,15059,0,0,2008,1999,2496,0.212,12.19,211.00,2.58
5.088,15060,0,0,2009,2000,2496,0.219,12.19,211.00,2.67
5.088,15061,0,0,2008,2000,2499,0.197,12.19,206.00,2.40
5.088,15062,0,0,2008,1999,2499,0.197,12.19,206.00,2.40
5.088,15063,0,0,2007,1999,2498,0.205,12.19,206.00,2.50
5.088,15064,0,1,2008,1999,2498,0.197,12.18,208.00,2.40
5.088,15065,0,1,2007,1999,2499,0.205,12.17,206.00,2.49
5.088,15066,0,1,2008,2000,2498,0.197,12.17,206.00,2.40
5.088,15067,0,1,2008,1999,2498,0.205,12.19,208.00,2.50
5.088,15068,0,1,2007,1999,2499,0.205,12.17,205.00,2.49
5.088,15069,0,1,2007,1999,2499,0.190,12.17,206.00,2.31
5.088,15070,0,1,2008,1999,2499,0.197,12.18,208.00,2.40
5.089,15071,0,1,2008,1999,2500,0.197,12.17,205.00,2.40
5.089,15072,0,1,2008,2000,2498,0.197,12.18,208.00,2.40
5.089,15073,0,1,2007,1998,2498,0.197,12.19,208.00,2.40
5.089,15074,0,1,2007,1999,2499,0.197,12.17,206.00,2.40
5.089,15075,0,1,2007,1998,2499,0.205,12.18,206.00,2.50
5.089,15076,0,1,2008,1999,2497,0.212,12.19,208.00,2.58
5.089,15077,0,1,2008,1999,2499,0.197,12.18,206.00,2.40
5.089,15078,0,1,2008,1999,2497,0.219,12.19,209.00,2.67
5.089,15079,0,1,2007,1999,2497,0.212,12.19,209.00,2.58
5.089,15080,0,1,2007,1999,2499,0.197,12.17,206.00,2.40
5.089,15081,0,1,2008,2000,2498,0.197,12.19,208.00,2.40
5.089,15082,0,1,2007,1998,2498,0.197,12.18,208.00,2.40
5.089,15083,0,1,2008,1999,2498,0.205,12.18,208.00,2.50
5.089,15084,0,1,2008,1999,2498,0.205,12.18,206.00,2.50
5.089,15085,0,1,2008,1999,2499,0.197,12.18,206.00,2.40
5.089,15086,0,1,2009,2000,2497,0.205,12.19,209.00,2.50
5.090,15087,0,1,2007,1999,2500,0.205,12.18,205.00,2.50
5.090,15088,0,1,2007,1998,2498,0.197,12.17,208.00,2.40
5.090,15089,0,1,2008,1999,2498,0.197,12.19,208.00,2.40
5.090,15090,0,1,2007,1999,2499,0.197,12.17,206.00,2.40
5.090,15091,0,1,2007,1999,2498,0.205,12.18,206.00,2.50
5.090,15092,0,1,2008,2000,2498,0.197,12.17,208.00,2.40
5.090,15093,0,1,2008,1999,2499,0.197,12.19,208.00,2.40
5.090,15094,0,1,2007,1998,2498,0.197,12.17,208.00,2.40
5.090,15095,0,1,2008,1999,2498,0.212,12.19,206.00,2.58
5.090,15096,0,1,2008,1999,2499,0.197,12.18,206.00,2.40
5.090,15097,0,1,2008,1999,2497,0.212,12.19,209.00,2.58
5.090,15098,0,1,2008,1999,2496,0.212,12.19,211.00,2.58
5.090,15099,0,1,2008,1999,2498,0.197,12.17,208.00,2.40
5.090,15100,0,1,2006,1997,2497,0.190,12.19,208.00,2.32
5.090,15101,0,1,2008,1999,2498,0.197,12.17,208.00,2.40
5.090,15102,0,1,2009,2000,2498,0.197,12.17,208.00,2.40
5.090,15103,0,1,2008,2000,2499,0.197,12.16,206.00,2.40
5.090,15104,0,1,2008,1999,2499,0.197,12.18,206.00,2.40
5.090,15105,0,1,2008,1999,2497,0.212,12.19,209.00,2.58
5.091,15106,0,1,2008,1999,2498,0.197,12.18,206.00,2.40
5.091,15107,0,1,2007,1998,2498,0.205,12.18,208.00,2.50
5.091,15108,0,1,2008,2000,2498,0.197,12.18,208.00,2.40
5.091,15109,0,1,2008,1999,2499,0.197,12.17,208.00,2.40
5.091,15110,0,1,2008,2000,2498,0.197,12.18,208.00,2.40
5.091,15111,0,1,2007,1999,2500,0.197,12.18,205.00,2.40
5.091,15112,0,1,2007,1999,2497,0.183,12.17,208.00,2.23
5.091,15113,0,1,2009,2000,2498,0.197,12.18,208.00,2.40
5.091,15114,0,1,2007,1999,2498,0.205,12.19,209.00,2.50
5.091,15115,0,1,2007,1998,2498,0.190,12.17,208.00,2.31
5.091,15116,0,1,2007,1998,2498,0.205,12.19,206.00,2.50
5.091,15117,0,1,2008,1999,2498,0.205,12.19,209.00,2.50
5.091,15118,0,1,2008,1999,2497,0.212,12.18,208.00,2.58
5.091,15119,0,1,2007,1998,2499,0.197,12.17,206.00,2.40
5.091,15120,0,1,2007,1998,2499,0.212,12.19,208.00,2.58
5.091,15121,0,1,2007,1998,2497,0.197,12.18,209.00,2.40
5.092,15122,0,1,2008,2000,2497,0.205,12.18,208.00,2.50
5.092,15123,0,1,2008,1999,2497,0.190,12.18,209.00,2.31
5.092,15124,0,2,2009,2000,2496,0.219,12.19,211.00,2.67
5.092,15125,0,2,2007,1998,2496,0.205,12.19,211.00,2.50
5.092,15126,0,2,2008,2000,2497,0.205,12.19,209.00,2.50
5.092,15127,0,2,2007,1999,2499,0.183,12.17,206.00,2.23
5.092,15128,0,2,2007,1999,2498,0.197,12.18,208.00,2.40
5.092,15129,0,2,2008,1998,2498,0.197,12.18,208.00,2.40
5.092,15130,0,2,2007,1999,2497,0.197,12.18,209.00,2.40
5.092,15131,0,2,2008,2000,2497,0.205,12.18,208.00,2.50
5.092,15132,0,2,2008,1999,2498,0.205,12.18,208.00,2.50
5.092,15133,0,2,2007,1999,2497,0.205,12.19,211.00,2.50
5.092,15134,0,2,2008,2000,2496,0.205,12.19,209.00,2.50
5.092,15135,0,2,2008,2000,2497,0.212,12.19,209.00,2.58
5.092,15136,0,2,2008,2000,2496,0.212,12.19,211.00,2.58
5.092,15137,0,2,2007,1998,2500,0.197,12.18,205.00,2.40
5.092,15138,0,2,2008,1999,2498,0.190,12.18,209.00,2.31
5.092,15139,0,2,2008,2000,2498,0.197,12.18,208.00,2.40
5.093,15140,0,2,2007,1999,2498,0.190,12.17,208.00,2.31
5.093,15141,0,2,2008,2000,2498,0.197,12.18,208.00,2.40
5.093,15142,0,2,2008,2000,2498,0.197,12.18,208.00,2.40
5.093,15143,0,2,2009,1999,2498,0.197,12.18,208.00,2.40
5.093,15144,0,2,2008,1999,2498,0.197,12.19,208.00,2.40
5.093,15145,0,2,2008,1999,2498,0.205,12.18,208.00,2.50
5.093,15146,0,2,2008,1999,2497,0.205,12.19,209.00,2.50
5.093,15147,0,2,2008,1999,2498,0.205,12.19,209.00,2.50
5.093,15148,0,2,2007,1998,2498,0.205,12.18,206.00,2.50
5.093,15149,0,2,2008,1999,2496,0.197,12.18,211.00,2.40
5.093,15150,0,2,2008,2000,2498,0.205,12.19,208.00,2.50
5.093,15151,0,2,2009,2001,2498,0.205,12.18,208.00,2.50
5.093,15152,0,2,2008,1999,2498,0.212,12.19,209.00,2.58
5.093,15153,0,2,2008,2000,2496,0.219,12.19,212.00,2.67
5.093,15154,0,2,2008,1999,2496,0.212,12.19,209.00,2.58
5.093,15155,0,2,2008,1999,2497,0.212,12.19,209.00,2.58
5.093,15156,0,2,2009,2000,2498,0.205,12.18,208.00,2.50
5.093,15157,0,2,2008,1999,2499,0.197,12.18,208.00,2.40
5.093,15158,0,2,2008,2000,2498,0.205,12.18,208.00,2.50
5.093,15159,0,2,2007,1998,2499,0.212,12.18,206.00,2.58
5.093,15160,0,2,2009,2000,2498,0.205,12.18,208.00,2.50
5.093,15161,0,2,2008,1999,2499,0.197,12.17,206.00,2.40
5.093,15162,0,2,2009,2001,2498,0.197,12.18,209.00,2.40
5.093,15163,0,2,2008,1999,2498,0.197,12.19,208.00,2.40
5.093,15164,0,2,2007,1999,2498,0.212,12.18,208.00,2.58
5.093,15165,0,2,2009,1999,2498,0.197,12.19,206.00,2.40
5.094,15166,0,2,2008,2000,2496,0.212,12.19,211.00,2.58
5.094,15167,0,2,2006,1997,2498,0.205,12.18,206.00,2.50
5.094,15168,0,2,2007,1998,2499,0.197,12.17,206.00,2.40
5.094,15169,0,2,2006,1997,2499,0.197,12.17,206.00,2.40
5.094,15170,0,2,2007,1998,2498,0.197,12.17,208.00,2.40
5.094,15171,0,2,2008,1999,2497,0.205,12.19,211.00,2.50
5.094,15172,0,2,2007,1998,2497,0.197,12.18,209.00,2.40
5.094,15173,0,2,2007,1999,2496,0.205,12.19,211.00,2.50
5.094,15174,0,2,2007,1998,2497,0.205,12.19,209.00,2.50
5.094,15175,0,2,2007,1998,2497,0.205,12.19,208.00,2.50
5.094,15176,0,2,2008,2000,2498,0.197,12.17,208.00,2.40
5.094,15177,0,2,2009,2001,2497,0.197,12.19,209.00,2.40
5.094,15178,0,2,2009,2001,2498,0.205,12.18,209.00,2.50
5.094,15179,0,2,2008,2000,2498,0.190,12.17,209.00,2.31
5.094,15180,0,2,2008,2000,2499,0.197,12.18,206.00,2.40
5.094,15181,0,2,2008,2000,2496,0.219,12.19,211.00,2.67
5.094,15182,0,2,2008,2000,2496,0.212,12.19,211.00,2.58
5.094,15183,0,2,2007,1999,2498,0.205,12.18,208.00,2.50
5.094,15184,0,3,2009,2000,2497,0.190,12.18,208.00,2.31
5.094,15185,0,3,2007,1998,2498,0.190,12.17,208.00,2.31
5.094,15186,0,3,2008,1999,2498,0.197,12.18,206.00,2.40
5.094,15187,0,3,2007,1999,2498,0.190,12.16,208.00,2.31
5.094,15188,0,3,2008,2000,2497,0.205,12.19,208.00,2.50
5.094,15189,0,3,2008,1999,2499,0.190,12.17,208.00,2.31
5.094,15190,0,3,2008,1999,2498,0.197,12.18,209.00,2.40
5.094,15191,0,3,2008,1999,2499,0.212,12.18,206.00,2.58
5.094,15192,0,3,2008,1999,2496,0.205,12.19,211.00,2.50
5.094,15193,0,3,2008,2000,2496,0.212,12.19,211.00,2.58
5.094,15194,0,3,2008,1999,2498,0.190,12.17,208.00,2.31
5.094,15195,0,3,2008,1999,2498,0.197,12.17,208.00,2.40
5.095,15196,0,3,2007,1999,2499,0.197,12.18,206.00,2.40
5.095,15197,0,3,2008,1999,2498,0.197,12.18,209.00,2.40
5.095,15198,0,3,2007,1999,2499,0.197,12.18,206.00,2.40
5.095,15199,0,3,2007,1998,2498,0.197,12.19,206.00,2.40
5.095,15200,0,3,2007,1999,2499,0.197,12.18,208.00,2.40
5.095,15201,0,3,2007,1999,2499,0.205,12.19,208.00,2.50
5.095,15202,0,3,2008,1999,2498,0.205,12.18,209.00,2.50
5.095,15203,0,3,2007,1999,2499,0.197,12.18,206.00,2.40
5.095,15204,0,3,2008,2000,2498,0.197,12.18,208.00,2.40
5.095,15205,0,3,2007,1999,2499,0.197,12.18,206.00,2.40
5.095,15868,0,14,2008,1999,2497,0.212,12.19,211.00,2.58
5.095,15869,0,14,2008,1999,2499,0.197,12.18,206.00,2.40
5.095,15870,0,14,2008,1999,2498,0.205,12.18,208.00,2.50
5.095,15871,0,14,2008,1998,2496,0.183,12.17,211.00,2.23
5.095,15872,0,14,2007,1998,2498,0.205,12.19,208.00,2.50
5.095,15873,0,14,2007,1997,2498,0.197,12.18,206.00,2.40
5.096,15874,0,14,2006,1997,2499,0.197,12.18,206.00,2.40
5.099,15875,0,14,2006,1997,2499,0.190,12.17,208.00,2.31
5.100,15876,0,14,2008,1999,2496,0.205,12.19,212.00,2.50
5.102,15877,0,14,2007,1998,2498,0.190,12.16,208.00,2.31
5.104,15878,0,14,2007,1998,2497,0.205,12.18,209.00,2.50
5.106,15879,0,14,2008,1999,2498,0.197,12.17,208.00,2.40
5.109,15880,0,14,2007,1999,2499,0.197,12.17,206.00,2.40
5.110,15881,0,14,2009,2000,2498,0.190,12.17,209.00,2.31
5.112,15882,0,14,2007,1999,2498,0.197,12.17,208.00,2.40
5.114,15883,0,14,2008,1999,2498,0.183,12.16,206.00,2.23
5.116,15884,0,14,2009,2001,2499,0.197,12.17,206.00,2.40
5.118,15885,0,14,2008,1999,2498,0.205,12.19,209.00,2.50
5.120,15886,0,14,2007,1998,2497,0.205,12.19,209.00,2.50
5.122,15887,0,14,2009,1999,2497,0.205,12.19,211.00,2.50
5.124,15888,0,14,2007,1999,2498,0.197,12.18,208.00,2.40
5.126,15889,0,14,2007,1999,2496,0.212,12.19,211.00,2.58
5.128,15890,0,14,2007,1997,2497,0.190,12.17,209.00,2.31
5.130,15891,0,14,2005,1996,2500,0.190,12.17,206.00,2.31
5.132,15892,0,14,2007,1997,2499,0.205,12.18,208.00,2.50
5.135,15893,0,14,2007,1997,2499,0.197,12.18,206.00,2.40
5.136,15894,0,14,2008,1998,2497,0.197,12.18,209.00,2.40
5.138,15895,0,14,2008,1999,2497,0.190,12.17,209.00,2.31
5.140,15896,0,14,2008,1998,2497,0.197,12.18,209.00,2.40
5.142,15897,0,14,2008,1998,2497,0.197,12.18,211.00,2.40
5.144,15898,0,14,2008,1998,2497,0.205,12.18,208.00,2.50
5.146,15899,0,14,2009,2000,2498,0.205,12.18,206.00,2.50
5.148,15900,0,14,2010,2000,2498,0.205,12.18,208.00,2.50
5.151,15901,0,14,2009,2000,2498,0.190,12.17,206.00,2.31
5.153,15902,0,14,2008,1999,2499,0.190,12.17,206.00,2.31
5.154,15903,0,14,2010,2000,2497,0.197,12.18,208.00,2.40
5.156,15904,0,15,2007,1998,2497,0.205,12.19,209.00,2.50
5.157,15905,0,15,2008,1999,2497,0.205,12.19,209.00,2.50
5.160,15906,0,15,2008,1998,2497,0.197,12.18,209.00,2.40
5.162,15907,0,15,2007,1999,2498,0.205,12.18,206.00,2.50
5.164,15908,0,15,2008,1999,2498,0.205,12.19,209.00,2.50
5.166,15909,0,15,2007,1997,2498,0.190,12.17,209.00,2.31
5.169,15910,0,15,2007,1997,2499,0.205,12.18,206.00,2.50
5.170,15911,0,15,2008,1998,2498,0.190,12.18,208.00,2.31
5.172,15912,0,15,2007,1997,2499,0.205,12.18,208.00,2.50
5.173,15913,0,15,2008,1999,2496,0.197,12.19,212.00,2.40
5.177,15914,0,15,2007,1998,2497,0.197,12.18,209.00,2.40
5.179,15915,0,15,2006,1998,2497,0.190,12.18,209.00,2.31
5.180,15916,0,15,2007,1998,2497,0.197,12.18,209.00,2.40
5.745,15917,0,15,2007,1998,2498,0.190,12.18,209.00,2.31
5.745,15918,0,15,2009,2000,2498,0.205,12.18,208.00,2.50
5.745,15919,0,15,2009,2001,2498,0.197,12.17,208.00,2.40
5.745,15920,0,15,2008,1999,2498,0.205,12.17,206.00,2.49
5.745,15921,0,15,2008,2000,2498,0.197,12.18,208.00,2.40
5.745,15922,0,15,2009,2000,2498,0.197,12.18,208.00,2.40
5.745,15923,0,15,2008,1999,2497,0.205,12.19,209.00,2.50
5.745,15924,0,15,2007,1998,2497,0.205,12.18,209.00,2.50
5.745,15925,0,15,2008,1999,2497,0.212,12.19,209.00,2.58
5.745,15926,0,15,2009,2000,2499,0.197,12.18,206.00,2.40
5.745,15927,0,15,2008,2000,2498,0.219,12.19,208.00,2.67
5.745,15928,0,15,2007,1998,2499,0.205,12.18,206.00,2.50
5.745,15929,0,15,2008,1998,2498,0.197,12.18,209.00,2.40
5.745,15930,0,15,2007,1999,2498,0.197,12.18,208.00,2.40
5.745,15931,0,15,2008,1999,2497,0.212,12.19,208.00,2.58
5.746,15932,0,15,2009,2000,2496,0.212,12.19,211.00,2.58
5.746,15933,0,15,2008,1999,2497,0.212,12.19,209.00,2.58
5.746,15934,0,15,2007,1999,2498,0.205,12.19,209.00,2.50
5.746,15935,0,15,2008,1999,2497,0.212,12.19,209.00,2.58
5.746,15936,0,15,2008,1999,2499,0.190,12.17,206.00,2.31
5.746,15937,0,15,2008,1999,2498,0.197,12.18,208.00,2.40
5.746,15938,0,15,2008,1999,2498,0.197,12.18,206.00,2.40
5.746,15939,0,15,2008,2000,2499,0.197,12.18,206.00,2.40
5.746,15940,0,15,2007,1998,2499,0.190,12.16,206.00,2.31
5.746,15941,0,15,2008,1999,2499,0.197,12.17,206.00,2.40
5.746,15942,0,15,2008,1999,2499,0.197,12.18,206.00,2.40
5.746,15943,0,15,2009,2000,2497,0.212,12.19,209.00,2.58
5.746,15944,0,15,2007,2000,2498,0.205,12.18,208.00,2.50
5.746,15945,0,15,2008,2000,2497,0.212,12.19,211.00,2.58
5.746,15946,0,15,2008,1999,2498,0.205,12.19,208.00,2.50
5.746,15947,0,15,2007,1998,2498,0.205,12.18,208.00,2.50
5.746,15948,0,15,2006,1997,2499,0.197,12.17,206.00,2.40
5.746,15949,0,15,2007,1998,2497,0.190,12.17,209.00,2.31
5.746,15950,0,15,2008,2000,2499,0.190,12.17,206.00,2.31
5.746,15951,0,15,2008,2000,2497,0.197,12.18,209.00,2.40
5.746,15952,0,15,2008,1998,2498,0.212,12.19,209.00,2.58
5.746,15953,0,15,2007,1999,2497,0.205,12.19,209.00,2.50
5.746,15954,0,15,2007,1999,2497,0.205,12.19,209.00,2.50
5.746,15955,0,15,2007,1998,2499,0.190,12.17,206.00,2.31
5.746,15956,0,15,2008,2000,2498,0.205,12.18,208.00,2.50
5.747,15957,0,15,2007,1998,2500,0.190,12.16,205.00,2.31
5.747,15958,0,15,2008,1999,2498,0.197,12.18,206.00,2.40
5.747,15959,0,15,2008,1999,2499,0.190,12.17,208.00,2.31
5.747,15960,0,15,2008,1999,2498,0.190,12.16,206.00,2.31
5.747,15961,0,15,2008,1999,2499,0.197,12.18,208.00,2.40
5.747,15962,0,15,2007,1999,2498,0.197,12.18,206.00,2.40
5.747,15963,0,15,2008,1998,2498,0.205,12.18,208.00,2.50
5.747,15964,0,16,2008,1999,2497,0.205,12.19,209.00,2.50
5.747,15965,0,16,2007,1997,2498,0.205,12.18,206.00,2.50
5.747,15966,0,16,2007,1998,2498,0.205,12.19,208.00,2.50
5.747,15967,0,16,2009,2000,2497,0.197,12.19,209.00,2.40
5.747,15968,0,16,2007,1998,2499,0.197,12.17,206.00,2.40
5.747,15969,0,16,2009,2000,2497,0.212,12.19,209.00,2.58
5.747,15970,0,16,2007,1998,2497,0.205,12.17,208.00,2.49
5.747,15971,0,16,2008,1999,2497,0.197,12.19,209.00,2.40
5.747,15972,0,16,2009,1999,2497,0.205,12.18,209.00,2.50
5.747,15973,0,16,2008,1999,2497,0.205,12.18,209.00,2.50
5.747,15974,0,16,2008,1999,2498,0.205,12.19,208.00,2.50
5.747,15975,0,16,2007,1998,2498,0.212,12.18,208.00,2.58
5.747,15976,0,16,2007,1998,2499,0.205,12.18,208.00,2.50
5.748,15977,0,16,2006,1997,2500,0.197,12.18,206.00,2.40
5.748,15978,0,16,2007,1998,2499,0.205,12.18,206.00,2.50
5.748,15979,0,16,2006,1997,2498,0.197,12.18,206.00,2.40
5.748,15980,0,16,2008,1999,2496,0.197,12.18,211.00,2.40
5.748,15981,0,16,2008,1998,2497,0.190,12.18,211.00,2.31
5.748,15982,0,16,2007,1997,2498,0.197,12.18,209.00,2.40
5.748,15983,0,16,2008,1999,2496,0.205,12.19,211.00,2.50
5.748,15984,0,16,2009,2000,2499,0.197,12.18,206.00,2.40
5.748,15985,0,16,2008,1999,2496,0.205,12.18,211.00,2.50
5.748,15986,0,16,2007,1998,2499,0.197,12.18,206.00,2.40
5.748,15987,0,16,2007,1998,2497,0.205,12.18,208.00,2.50
5.748,15988,0,16,2007,1998,2499,0.197,12.18,206.00,2.40
5.748,15989,0,16,2008,1999,2497,0.197,12.18,209.00,2.40
5.748,15990,0,16,2007,1998,2497,0.197,12.18,209.00,2.40
5.748,15991,0,16,2008,1999,2497,0.197,12.18,208.00,2.40
5.748,15992,0,16,2007,1998,2498,0.205,12.18,209.00,2.50
5.748,15993,0,16,2007,1998,2498,0.197,12.18,208.00,2.40
5.748,15994,0,16,2009,2001,2498,0.197,12.18,206.00,2.40
5.748,15995,0,16,2009,2001,2498,0.205,12.18,208.00,2.50
5.749,15996,0,16,2008,2000,2497,0.197,12.18,209.00,2.40
5.749,15997,0,16,2008,2000,2498,0.190,12.17,208.00,2.31
5.749,15998,0,16,2009,2000,2498,0.197,12.18,208.00,2.40
5.749,15999,0,16,2009,2000,2495,0.205,12.19,212.00,2.50
5.749,16000,0,16,2008,2000,2497,0.212,12.19,211.00,2.58
5.749,16001,0,16,2008,1999,2498,0.219,12.19,209.00,2.67
5.749,16002,0,16,2009,2000,2498,0.205,12.18,208.00,2.50
5.749,16003,0,16,2007,1998,2497,0.219,12.19,209.00,2.67
5.749,16004,0,16,2009,1999,2496,0.205,12.19,211.00,2.50
5.749,16005,0,16,2008,1998,2498,0.205,12.19,208.00,2.50
5.749,16006,0,16,2007,1998,2499,0.205,12.18,206.00,2.50
5.749,16007,0,16,2007,1998,2498,0.212,12.19,208.00,2.58
5.749,16008,0,16,2009,1999,2498,0.197,12.18,208.00,2.40
5.749,16009,0,16,2009,2000,2496,0.205,12.19,211.00,2.50
5.749,16010,0,16,2007,1998,2497,0.197,12.18,209.00,2.40
5.749,16011,0,16,2009,1999,2498,0.197,12.18,209.00,2.40
5.749,16012,0,16,2009,1999,2497,0.205,12.19,209.00,2.50
5.749,16013,0,16,2009,2000,2497,0.190,12.18,209.00,2.31
5.750,16014,0,16,2008,2000,2498,0.205,12.18,206.00,2.50
5.750,16015,0,16,2010,2001,2497,0.205,12.19,208.00,2.50
5.750,16016,0,16,2008,2000,2498,0.205,12.18,206.00,2.50
5.750,16017,0,16,2011,2001,2496,0.205,12.19,209.00,2.50
5.750,16018,0,16,2008,2000,2497,0.205,12.19,211.00,2.50
5.750,16019,0,16,2008,1999,2497,0.212,12.19,209.00,2.58
5.750,16020,0,16,2009,2000,2496,0.219,12.19,211.00,2.67
5.750,16021,0,16,2008,1999,2498,0.197,12.17,208.00,2.40
5.750,16022,0,16,2008,1999,2497,0.205,12.19,209.00,2.50
5.750,16023,0,16,2008,1998,2498,0.205,12.19,208.00,2.50
5.750,16024,0,17,2007,1998,2497,0.205,12.19,208.00,2.50
5.750,16025,0,17,2007,1998,2498,0.197,12.18,208.00,2.40
5.750,16026,0,17,2008,2000,2498,0.197,12.17,208.00,2.40
5.750,16027,0,17,2008,2000,2497,0.212,12.19,209.00,2.58
5.750,16028,0,17,2009,1999,2496,0.212,12.19,211.00,2.58
5.750,16029,0,17,2008,1998,2497,0.212,12.19,209.00,2.58
5.750,16030,0,17,2008,1999,2497,0.212,12.19,209.00,2.58
5.750,16031,0,17,2007,1999,2498,0.197,12.17,208.00,2.40
5.750,16032,0,17,2007,1998,2497,0.205,12.18,209.00,2.50
5.750,16033,0,17,2007,1998,2498,0.205,12.17,208.00,2.49
5.750,16034,0,17,2007,1998,2497,0.197,12.18,209.00,2.40
5.750,16035,0,17,2008,2000,2498,0.190,12.17,206.00,2.31
5.750,16036,0,17,2009,2000,2498,0.197,12.18,208.00,2.40
5.750,16037,0,17,2008,2000,2496,0.197,12.19,211.00,2.40
5.751,16038,0,17,2008,1999,2496,0.205,12.19,211.00,2.50
5.751,16039,0,17,2008,1999,2495,0.212,12.19,212.00,2.58
5.751,16040,0,17,2008,1999,2497,0.212,12.19,209.00,2.58
5.751,16041,0,17,2008,1999,2499,0.197,12.17,206.00,2.40
5.751,16042,0,17,2007,1999,2498,0.197,12.17,208.00,2.40
5.751,16043,0,17,2008,1999,2498,0.197,12.18,208.00,2.40
5.751,16044,0,17,2009,2000,2497,0.212,12.18,209.00,2.58
5.751,16045,0,17,2008,1999,2498,0.197,12.17,208.00,2.40
5.751,16046,0,17,2008,1998,2498,0.197,12.17,208.00,2.40
5.751,16047,0,17,2009,2000,2497,0.205,12.18,209.00,2.50
5.751,16048,0,17,2007,1999,2497,0.205,12.19,208.00,2.50
5.751,16049,0,17,2009,1999,2496,0.219,12.20,211.00,2.67
5.751,16050,0,17,2007,1998,2497,0.205,12.18,209.00,2.50
